	drugName	condition	review	rating	date	usefulCount
72638	Ethinyl estradiol / norethindrone	Birth Control	"""I&#039;ve been on Junel Fe for 9 months now. For the first three months I experienced nausea and occasional mood swings, it helped with making my period lighter and regularly on time. After the first months I was fine. Upon month 8 I experienced extreme mood swings and depression. I would pick fights about the smallest things and I felt crazy for doing so. I became really depressed once I hit month 9 and just could not figure out what was going on. Finally, a friend suggested getting off of Junel Fe and I have seen immediate change in my mood even on day 3 of being off the pill. Did not work for me."""	3	22-Sep-15	5
23251	Methadone	Chronic Pain	"""After getting shot in my lower back, my back got torn apart. It took 7 surgeries, and the pain is unexplainable. It&#039;s not 10/10 pain, It&#039;s more like 20/10 pain. My PM doctor put me on Methadone 10mg 4x daily,  and Oxycodone 30mg 6x daily. Those are 2 of the strongest Pain meds out there. Now my pain level is about a 5/10. Big improvement. The Methadone helps A LOT. I was first put on Fentanyl 50mcg patch along with the Oxy, my pain then was 8/10.. still too much pain. After getting switched to Methadone with the Oxy.. huge difference. Methadone is the best Painkiller I&#039;ve ever tried. TY Methadone."""	10	1-Apr-16	83
15346	Ethinyl estradiol / norethindrone	Birth Control	"""This pill did not work for me. After three days  I started noticing severe mood swings, mostly between irrational anger and despondency. My perfectly clear skin also started to breakout, I could never feel satiated (not necessarily hungry but still snacking all the time), unable to fall asleep, and had horrible constipation. I went off the pills and a week later still have most of the side effects, although my insomnia has improved. Definitely not for everyone, hoping it will get out of my system soon!"""	2	23-Feb-17	5
109310	Nexplanon	Birth Control	"""I&#039;ve had the implant in for 2 years today - and I&#039;m hoping to have it taken out tonight, I&#039;ve not really had any major problems with the implant, I only have a period for about a week every 3 months so I&#039;m fine with that, however I have put weight on and can&#039;t get it off at all, I go to the gym and eat healthy and I only end up putting more weight on! Also, ever since having the implant I&#039;ve had thrush (yeast infection) about 3 times, and the doctors say it can&#039;t be because of the implant however I&#039;m certain it is. I&#039;m always constantly moody and I never even want sex so I&#039;m hoping to have it out just so I can be myself again. I wouldn&#039;t have one put in again just because it&#039;s so long to put up with but if you&#039;re happy being moody for 3 years then go for it."""	7	6-Jan-17	6
121905	Venlafaxine	Depression	"""Helped a ton post-partum. Suffered depression long after both my babies were born. Insomnia is common and I took sleep aids for the first year. Any tiny disturbance in taking it is NOT RECOMMENDED...Worst I have ever felt.  The &quot;brain zaps&quot; are like a special kind of torture and my appetite is simply non existent...not good for someone already under weight.  It saved me for a long time but the choice to come off was heavily weighed against the withdrawal symptoms. I am suffering through it a week later. Anxiety getting better but physically there is not much change."""	9	23-Sep-12	1
202906	Sublimaze	Anesthesia	"""Not once but twice woke up during 2 separate procedures for colonoscopies, with doctors trying to force air out.   Drug is way too mild."""	1	3-Jun-15	6
166193	Levonorgestrel	Abnormal Uterine Bleeding	"""I am on my 3rd Mirena (replaced every 5 years). Every insertion has been excruciatingly painful; this last time, dare I say was WORSE! I was teary-eyed, breathing through it while also screaming intermittently as my dr inched it into place; and for whatever reason, I felt the pain on my right side. I fully expected spotting &amp; cramps for a few days after. Here I am now, just under 4-weeks later, with cramping and spotting almost daily. The cramps are on my right side, which is where the pain was during insertion. I have never had a problem before now. I&#039;ve used Mirena for over 10 years &amp; have always loved it. I just turned 40, so I&#039;m wondering if my body is responding differently due to hormonal fluctuations that come with age."""	8	29-Dec-16	6
94340	Trintellix	Major Depressive Disorde	"""I am a 42 yr old mother. I have been depressed all of my life. Never been happy more than a few weeks at a time. I have tired a few different mess but no real change. I would also self medicate with alcohol. At least once a week I would get to drunk I would black out. As you probably figured that caused a lot of problems in itself. I started taken Brentellix 6 moths ago and I have NEVER been so happy in my entire life! I love it! It really changed my life for the better. No more drinking! At all. I&#039;m so happy and my family has also seen the change are are more happy."""	10	3-Aug-15	67
26631	Sprintec	Birth Control	"""No problems - at first had great sex drive, 4 day periods, no cramps, light. No headaches or mood changes like with other birth control pills. The pills are not expensive. Did have a lot of yeast infections every month on the time of my period. Stopped taking it because my sugar got high and blood pressure was high. If you are a diabetic or have high blood pressure you have to be monitored by your doctor. This pill was not for me but every body is different. """	6	22-Nov-11	0
190387	Ortho Tri-Cyclen Lo	0</span> users found this comment helpful.	"""I love this birth control because no spotting between periods. A little emotional from the birth control. No mood swings. My last birth control made me bleed constantly every month so I stopped taking it and then I got pregnant and then I went on this birth control and I could be happier. I just wish it wasn&#039;t so expensive."""	9	29-Nov-11	0
126104	Viibryd	Depression	"""I had been on Lexapro/Celexa/Citolopram for the past 10 years (maybe a couple more) and it was fabulous!  About a year and half ago it stopped working for me.  I had tried Wellbutrin before the L/C/C and it was horrible for me - like wanting to hide in a corner under a desk paranoia!  My doctor sugested Viibryd after the L/C/C stopped working and so far so good.  I can&#039;t attest to the GI problems, and I don&#039;t know if I have the night time issues (I sleep like a log and am single so no one is there to tell me what is going on while I&#039;m sleeping).  I do have sleep issues, but not related to Viibryd.  I have found that the Viibryd doesn&#039;t help with anxiety/anger issues, so the doctor suggested adding L-Theanine and that helps tons!"""	9	15-Jan-13	38
200287	Varenicline	Smoking Cessation	"""Have smoked for 12 years,  I was smoking a 40 pack (Australia) in less than 24 hrs.

I went on Champix and after 2 weeks I was a non smoker and no side effects. 

Normally I&#039;d be clawing at the walls of my house if I didn&#039;t have a cigarette for a hour, now my cigarette addiction is comparable to eating chocolate, I&#039;d like some but I can go without.

I also have ADHD which makes smoking a lot more pleasurable and a lot more addictive."""	10	3-Dec-14	1
183531	Cymbalta	Anxiety	"""Prescribed via a Psychiatrist for severe Panic attacks for 2 years.
If I take dosage late or forget to take it the withdrawal symptoms kick in.  
Gnawing physical pain, breathlessness, disorientation to time, difficulties in word finding while speaking, severe muscle pain and stiffness, nausea, labile emotions and panic.

"""	1	5-Sep-10	27
17556	Ethinyl estradiol / etonogestrel	Birth Control	"""I love that I only have to think about my birth control twice a month. It&#039;s easy to use. That being said, after about six months of use, I realized that I was noticeably more anxious, depressed, and emotional. Where I&#039;ve had problems with anxiety before, I more frequently have panic attacks, a rapid heartbeat, and a tight chest. I find it hard to fall asleep at night, and hard to get out of bed in the morning. Maybe the worst part is that I have a very low libido. There will be times when I do have a desire to have sex with my SO, but my body doesn&#039;t respond or tenses up quickly. Otherwise, I don&#039;t think about intercourse nearly as much as I used to."""	5	4-Nov-16	9
105188	Carbamazepine	Epilepsy	"""Temporal lobe w/ Mesial temporal sclerosis. Using 8 weeks. Sometimes headaches or dizzy, frequent minor muscle tremors and twitching, shortened menstrual cycle, sensitive mood. Always tired and not very productive, sleep more. Went from monthly 2-5 day blackout seizure binge with 2-5 day recovery, so far only 1 minor convulsion while conscious with mostly full recovery by morning. Major improvement."""	9	26-Jul-16	2
133785	Bactrim DS	Bacterial Infection	"""I had possible Strep throat. First day I took it my fever rose to over 102. I was shaking, chills, rash.  My blood pressure (and I have high blood pressure) was 100/55 and my pulse was 50, I was not feeling well at all. I called doctor next morning and he switched me to Amoxicillin. I hope it works better.  Now I have a under the skin rash all over and am itching.  Guess I am allergic to this one."""	7	12-Aug-09	24
53296	femhrt	Postmenopausal Symptoms	"""This medication completely changed my life for the better.  Also having a thyroid autoimmune disease, menopause was worse for me, a bad endocrine &quot;cocktail&quot; as it were, and I was for almost a year brought to my knees with 20 or more knee buckling hot flash episodes a day that caused so much joint and limb pain I couldn&#039;t walk, severe depression, was nearly bedridden from lack of energy and episodes that were almost anxiety attacks (never had them before).  Within 3 weeks of taking FemHrt, it nearly all ceased.  I got my life back."""	10	11-Jan-11	42
145495	Qsymia	Weight Loss	"""I am a 28 year old female and my highest weight was 217 lb I am very active and work out 4 times a week at least but suffer from hashimotos thyroid along with Ibs-c. I have been to a handful of Specialists over the course of 10 years and used to have to run 2 hours a day just to keep my weight stable. My doctor recently added T3 to my regular levothyroxin everyday and I noticed more energy but my weight still clung on. She started me on a two-week trial of Qsymia (while trying to get approval from my insurance company) the first few days I felt foggy and very thirsty. I am now on day 11 and dropped 7 lbs still working out the same I never had much of an appetite and don&#039;t eat many fatty foods which is why we looked into this medication"""	10	1-Jul-17	21
113287	Bisacodyl	Constipation	"""I was violently sick from taking this. Sure, it relieved the constipation but at one point I was debating whether I need 911. 
Product: Bisacodyl USP 5 mg, marketed as CVS Brand Women&#039;s Gentle Laxative. I am a middle-aged female, about 135lbs, no health probs.
Yesterday I took one tablet in the afternoon. At 8 PM I felt nauseous, some abdominal rumbling. 8:30PM I vomited so hard that I actually wet myself. That was followed by wave after wave of violent abdominal pain. I was sweating so heavily that I stripped off all of my clothes, and so weak that I just laid on the bathroom floor in misery. I vomited again, then had diarrhea. Again at midnight. Again at 2AM. Finally recovered around 5AM. It was a nightmare and I would never take it again"""	5	24-Aug-15	4
152576	Lortab	Pain	"""It has always helped me with my lower back pain."""	7	4-Sep-09	26
39159	Contrave	Weight Loss	"""I have been on Contrave for 3 weeks. I am 5&quot;5, at 155 pounds. I think I have only lost 2 pounds. I work out with a personal trainer 3x a week and usually take long walks for other days not with trainer. My doctor recommended this prescription for me because I sit at a desk 10 hours a day and am typically very hungry and unable to stop my snacking. So far, I still crave foods. Not sure when the &#039;appetite supressant&#039; part will kick in, because it still has not done that. I have not noticed much differences so I will give it a little more time (until I finish the entire bottle supply) before asking DR. to change me to something else."""	4	4-May-17	7
18079	Ethinyl estradiol / etonogestrel	Birth Control	"""Nuvaring has worked out great for me. The only side effect I experience a lot from is nausea. I could be starving and the smell of food disgusts me."""	6	24-Nov-11	0
154777	Metronidazole	Bacterial Infection	"""I&#039;ve been prescribed this med for 4 times a day for 14 days I feel horrible ,the taste in my mouth is so nasty ,my urine is dark ,my Bowel movements look green and funny .has anyone experienced this?"""	1	23-Jan-17	20
165889	Levonorgestrel	Emergency Contraception	"""My girlfriend and I had sex during her fertile period, the condom broke and we didn&#039;t realize. She took the pill around 8 hours later and it worked, she got her period! I have read in some journals that the pill may not work during the fertile period so be careful! Anyhow for us worked :)"""	10	15-Mar-17	0
221853	Haldol	Nausea/Vomiting	"""Still felt nauseous after being given this drug after surgery. I woke up extremely sick and vomiting. This was the third drug given to help combat these effects. I didn&#039;t know I&#039;d been given it but my heart started racing and concerned the nursing staff, and their concern made me anxious. I was so scared and paranoid about what was happening to me which I later found out was all because of this drug. They ended up flushing it out of my system."""	2	19-Aug-17	3
47631	Tapentadol	Pain	"""I&#039;ve only been using Nucynta for a couple of days, but so far it is working very well for me with very minimal side effects.  I have chronic sciatica and have been on and off of low does Hydrocodone for a couple of years now.  I&#039;ve been taking 50mg of Nucynta 2-3 times a day.  This seems to work almost as well on the pain and just seems easier on my body.  It does make me a bit &quot;loopy&quot; and a little groggy, but no more than the hydrocodone.  I also have noticed that I&#039;m not as hungry, which is not necessarily a bad thing!  I will be interested to see how it works over time and whether it continues to work well over a period of time."""	9	25-Apr-12	30
152743	Doxycycline	Chlamydia Infection	"""Took medication for 7 days only side affect I had was  that I couldn&#039;t have sex for 7 days :("""	9	4-Nov-17	2
10051	Lo Loestrin Fe	Birth Control	"""I used the medication for one month and during that time my face broke out in acne, and I have not been able to get the acne to go away in a year."""	4	3-Aug-13	14
134546	Ketorolac	Pain	"""I had excruciating lower back pain along with sciatica. Had shot I hip about 4 hrs ago. Pain is almost gone. I still have a little sciatica, but that takes a few days to heal . Dr also prescribed Vicodin but don&#039;t think I will need it tonight. I could barely walk before the dr visit. Now I am much better. No drug works for everyone, but it&#039;s worth a try. Hope you all feel better!"""	10	6-Jun-16	9
128860	Phentermine	Weight Loss	"""I was signed up to have the gastric sleeve procedure done but cancelled a few days prior wanting to try again to lose the weight on my own. I was 245 pounds March 28th and am 5&#039;5. I started Phentermine shortly after that. I am currently 209lbs and it is July 22nd. Very happy with the results. Glad I didn&#039;t have the operation even if I would be skinner now the risks were just too scary for me to go through with it. I would love to get down to 160lbs! I am going to keep chugging along."""	10	22-Jul-14	57
150297	Sulfamethoxazole / trimethoprim	Urinary Tract Infection	"""I have always taken Bactrim for a UTI and it has always worked with zero side effects.  I took two every 12 hours for ten days and I&#039;m perfectly fine now. 
"""	10	6-Sep-17	4
55635	Effexor	Depression	"""Started effexor 75 in Oct start feeling fantastic beside dry mouth and a bit of nausea. Doctor up it to 150mg in November. I felt like a whole different person I got my life back but due to some side effects of the drug causing constipation and facial twitching in my lower lip and body jolts doctor tried to ween me off 150 mg taking one pill every second day it was too fast to soon. Wow just as well if I had done it cold turkey. Brain zaps, crying, feeling lost in my own body. Scared tremors.  It has been almost 2 weeks with no effexor and I have got vertigo, felt like I was going to die.  Today I started taking 150mg again today and already feel a difference. This could be my drug huge difference in mood ,zapping  gone and dry mouth is back I can live with that ."""	9	13-Mar-17	22
158940	Methylphenidate	ADHD	"""I had a great experience with this medication.  I had to go off all medication for a while but will ask for this again when I can resume. My doctor gave me Concerta and I didn&#039;t think it was doing anything.  I felt calmer, the way you feel after a well rested vacation, but that was all the difference I felt. THEN my co-workers started complimenting me on my work more, saying I was doing much better (They were the ones that suggested I get tested for ADHD)."""	10	16-Apr-08	72
228124	Etonogestrel	Birth Control	"""I am a mother of 5 and this is the second time round using the Implanon. The first time was much like this time round no period, weight gain from 75kg to 120 kg, mood swings, migraines. I&#039;m sure I had the whole package but in saying that, ladies...you should always read the information &quot;inside the pack&quot;. It tells you what you might experience and its pretty much what everyone is stating. You may or might not get it. You won&#039;t truly know until you try it for yourself."""	10	11-Apr-10	5
226127	Remicade	Spondyloarthritis	"""Saved my
Life. I went from level 10 pain daily to almost no pain after the first infusion. I cry when I talk about how this medication as given me a whole new lease on life. It has literally saved my life. 

My pain was so bad in my wrists that I couldn&#039;t do anything anymore. I was seriously thinking about suicide or just cutting my hands off. I&#039;m saved and I thank Remicade for it."""	10	7-Jul-16	2
155648	Metronidazole	Clostridial Infection	"""I am taking this for C-diff.  The medicine stopped the diarrhea after 3 days, but the medicine has made me sick to where I feel nauseous all the time.  I was very sensitive to light as well.  I have a 14 day supply and am on day 12.  The taste is horrible and have gagged several times because it would get stuck in my throat.  I am a baby when it comes to taking pills, but this has definitely been my worst experience.  Just hope I am all cleared up when I go for my follow up visit.  I am a 41 year old female and had bloody mucus in my stools which is what made me finally go to the doctor.  I had previously taken an antibiotic for a sinus infection which most likely caused the c-diff."""	6	2-Jan-13	13
17161	Flexeril	ibromyalgia	"""Without this medicine I could not sleep through the pain."""	8	28-Mar-11	42
27189	SMZ-TMP DS	Upper Respiratory Tract Infection	"""Being that I have rheumatoid arthritis and take medication for that, finding antibiotics to treat infection isn&#039;t easy. I did not have many side effects from this medicine, as I took it how the doctor prescribed. I did have upset stomach though at first. Any infection I had, showed definite improvement within the first 36 hrs."""	8	24-Jun-13	25
160309	Buspirone	Anxiety	"""It is too bad that doctor&#039;s are so freaked out about addictive behavior to the point where they are willing to let people suffer.  Valium in low dose works and this is just junk.  It may work for some but even results using test rats I have seen state they have low results.   I resent it when a person really needs help for acute conditions and they are given this kind of low performing medication."""	1	30-Jan-17	23
219042	Dutasteride	Benign Prostatic Hyperplasia	"""After 15 years of Prostate Problems many Biopsies. PSA 139 had acute Urinary Retention and Catherised (not getting Catheter in, bleeding. Put on Duodart slight Improvement, nocturnal from ten times to about 4 to 5 times, very dizzy."""	6	15-Nov-14	42
157830	Accutane	Acne	"""After about 7 years of struggling with severe, sometimes even deeply cystic acne on my face and shoulders, my dermatologist finally convinced me to try Accutane. I had been on at least 10 different topical and oral medications beforehand and nothing helped at all until I went on a 6 month Accutane regimen. It gets a little worse before it gets better, but I&#039;m on my last month now and I&#039;m 100% CLEAR! It&#039;s so wonderful! However the medicine is really drying, especially on your lips and eyes (plus I wear contacts). You need to apply lip balm almost constantly but it&#039;s worth it in the end! Also my arms dried out and were red and flaky for a few weeks, but a drugstore lotion cleared that up quickly. I would highly recommend Accutane to anyone!"""	9	31-Jul-13	25
47120	Thyroid desiccated	Underactive Thyroid	"""I started taking armour in November 2015.  The first couple of days I felt more tired. But after 4-5 days, I wasn&#039;t tired throughout the day.  I lost 6 lbs in that month.  But then when I started my refill, all the weight came right back on.  Is it possible for a whole batch to be bad??  Or did my body regulate to that dose?"""	5	9-Dec-15	35
202770	Hydroxychloroquine	Dermatomyositis	"""The drug Plaquenil was used faithfully for three months for the treatment of sarcoidosis. My scalp was ozing, flaking and overwhelmed with hyperpigmented lesions. The hair was approximately 1/4 inch in length due to the severity of the outbreak. My scalp has healed and the hair is now 6 inches long. The Plaquenil allowed my scalp to resume normal hair growth."""	10	18-Nov-09	36
5816	Opana	Pain	"""Had my left eye destroyed by a broomstick in a fight.  Doctor gave me percocet!  What a joke, I was still in agony.  And Opana 10 ER did the trick.  """	10	4-Dec-09	14
78165	Zyprexa	Depression	"""This medication is a great sedative, if that&#039;s what you&#039;re looking for. It&#039;s not euphoric, it just makes you sleepy.  But it caused me to gain over 40 pounds in less than 2 months.  I now get depressed just looking in the mirror.  My doctor says it just makes you hungry, not gain weight, but the amount of weight I gained in such a short time is unnatural!"""	7	13-Feb-12	83
182300	ProAir RespiClick	Bronchiectasis	"""I never received any relief.Not sure if it even works. I followed directions, just awful product."""	1	12-Mar-17	3
48282	Vedolizumab	Crohn's Disease	"""I have not been on it long enough. But it did control my diarrhea, not the pain. I was told because of my new diagnosis of Irritable Bowl Syndrome along with the Crohn&#039;s Disease, they are stopping the infusions to see if the pain is not a side effect from it. This is all I know about it so far. I hope this helps a little."""	8	13-Nov-15	18
10046	Lo Loestrin Fe	Birth Control	"""I have been taking my first pack of Lo Loestrin Fe and I must say it really works for me. I was a little nervous at first because this is my first time taking birth control and I&#039;ve heard all the negative side effects of taking birth control. I have had spotting [brown-ish color] for three weeks after my period, but that&#039;s normal for the first month. I have breast tenderness and mood swings every now and then, then again it&#039;s expected for the first few months. I have not yet experienced any weight gain. So far I am satisfied, but I wish it wasn&#039;t so expensive."""	8	1-Feb-12	7
121103	Venlafaxine	Depression	"""This medication was by far the worst antidepressant have taken. The first month I seemed to do very well on it, after a year on it, I hit rock bottom mentally. It caused more terrible symptoms than what was beneficial to me. I had weird brain zaps that left me in bed for days, sleep disturbances, attention seeking behavior, as well as OCD that I had never experienced previously. It took forever to get off this terrible drug and I call it a terrible drug because your brain and body get physically addicted the way a street drug would, you miss 1 day and you start having severe withdrawals, sweats, extreme brain zaps, feeling out of touch w/reality/strange thoughts. After a month of being off Effexor, All of the bad stuff stopped."""	1	6-Jan-17	10
115364	Propofol	Anesthesia	"""Had a endoscopy and colonoscopy today.  They used propofol and I felt briefly drowsy then woke up in recovery.  Alert, but slightly unsteady while dressing. But it passed quickly and got out to the car fine. Would definitely have this drug used the next time."""	10	6-Oct-16	13
152006	Chantix	Smoking Cessation	"""I put off trying Chantix for three years because I feared all its horrible side effects. My doctor convinced me to give it a try. If I started to feel weird I could just stop taking it, he said. Well, while  I was waiting for the depression and nightmares to start, I quit smoking.  Cigarettes started to taste funny the first week. In the second week I was down to five or six . In the middle of the third week I went smoke free for the first time in twenty six years. My dreams are vivid not scary. I&#039;m not depressed, I&#039;m thrilled to be a non smoker. Dry mouth and constipation are really the only side effects I noticed. Try it. Don&#039;t let someone else&#039;s bad experience stop you from saving your own life."""	10	1-Apr-11	16
146424	Suboxone	Opiate Dependence	"""I have been taking opiates for about 2-3 years and was taking about 20-30 tablets a day. I just started taking Suboxone today. I have to take two 8mg pills a day at first them go down I guess. Im really excited about this pill and can&#039;t believe I feel this good. No withdrawl symptoms. I have energy and am able to actually do stuff without taking so many pills. """	9	19-Apr-08	72
231741	Trazodone	ibromyalgia	"""I have taken various doses of trazodone for Fibromyalgia and insomnia. I can fall asleep but wake up 3 hrs later. I take 
50-100mg and fall back to sleep. Finally a more restful sleep. Ahhh!"""	9	13-Aug-14	44
8674	Zolpidem	Insomnia	"""I have a friend who had taken ambien for years without any problems. For whatever reason he had an episode where he took his pill and then remembers nothing until he was at the police station. He had drank three beers (which he only knows because that&#039;s all that was in his frig) then proceded to drive (!!) and ended up crashing into another parked car. This is scarey stuff, eh? It works wonderfully, but I surely wouldn&#039;t want to have a blackout and end up driving. Is there any class action suit against this drug? I&#039;ve heard of the other stories -- walking naked in the winter cold, eating while sleeping, and then my friend&#039;s experience."""	6	4-Oct-09	35
75230	Mirapex	Restless Legs Syndrome	"""I have been using Mirapex for two years for severe RLS.  Mine just showed up suddenly without warning and honestly barely slept for two months.  I went to numerous doctors who tried every type of sleeping pill including Ambien. I still didn&#039;t sleep and with the Ambien I actually got into my car and drove and don&#039;t have much memory of it until I hit the back of another car!  Finally I was placed on Mirapex and it is a miracle drug.  I literally was feeling suicidal until that was prescribed.  For me, it really needs to be taken early evening because if not I have problems because it takes awhile to take effect."""	10	28-Sep-09	82
91453	Uribel	Urinary Tract Infection	"""I had a bad attack of IC, and could not get a bladder irrigation for a few days, so took Uribel.It eased the pain. When I went for my normal swim, I could not catch my breath. I had brachycardia. I stopped taking the meds after a few days because the feeling of not being able to breathe properly was worrying me. It&#039;s 5 or 6 days since I stopped taking it, and when I swam again, the situation was even worse. Tagamet is the only other medicine that has done this to me. I have to keep struggling, even now, sitting at home, to get enough of a breath. I wish the medicine would stop affecting me. I looked online to see what to do, or if brachycardia was listed as a side effect, but it isn&#039;t. I am wondering what I should do to get back to normal."""	5	21-Jan-17	3
214809	Vicks Sinex Nasal Spray (old formulation)	Nasal Congestion	"""I am writing on behalf of my partner who used the nasal spray to relieve a blocked nose, within two days of using she experienced severe flu like symptoms alongside a sore threat, light headedness and dizziness. The product only worked for a short period of time before returning her nose back to its blocked self."""	1	6-Feb-17	1
159777	Bactrim	Urinary Tract Infection	"""I have chronic uti that have spread to kidneys and 2 times septic. 1-3 uti per month for last 4 years. Bactrim never worked...I am told it is used frequently for gram negative bacterias. Finally a University Hospital lab found it was gram negative E. Coli ESBL. Bactrim is not usually effective on ESBL."""	3	26-Jul-16	22
16241	Ethinyl estradiol / norethindrone	Birth Control	"""Lo Lo Estrin Fe started out ok for me the first 3 months. I didn&#039;t have a period and it was the best thing ever since my period is a nightmare for me before. Shortly after the 3 months I saw a difference in my body and weighed myself and I was 10 lbs heavier. Along with the weight gain I also suffered from horrible sporadic cramps and really bad acne. This is the worst birth control ever and I&#039;m changing it ASAP!!"""	1	24-Mar-16	3
221292	Depo-Provera Contraceptive	Birth Control	"""I don&#039;t recommend it. Stay away from this shoot."""	2	8-Jan-16	1
65841	Propranolol	Benign Essential Trem	"""I have been using Propranolol for a few years for essential tremor (right hand) taking 20mg twice a day, however, shortness of breath and fatigue is now an issue and I am wondering now if the shakes are worth dealing with vs. shortness of breath and fatigue.  I have read that taking the pills during different times of the day make some changes which is something I may try.  I do quite a bit of presentation work and I find it does help with anxiety and stress of getting in front of people but I am now questioning the side affects as well as weight gain.  I walk three miles a day and believe me it is hard breathing but I am on the fence about which is the more questionable condition, shaking or difficulty breathing with fatigue.  What to do?"""	8	21-Dec-15	33
53101	Ceftriaxone	Bacterial Infection	"""Rocephin is like a miracle I am always getting sick with ear infections, strep throat, and one shot is all it takes and with 2 to 4 hours I feel so much better."""	10	23-Jun-16	12
60520	Ranexa	Angina	"""Weight loss.   Glucose reduction , off insulin. Taking orals only."""	10	7-Aug-15	22
145101	Etonogestrel	Birth Control	"""I switched to this birth control from being on the depo,because I was doing fine till it was like my 3rd shot and I started to bleed and cramp so heavy then usual and nothing was stopping it so I switched to this birth control and so far everything was good till it hid the 3rd month mark and that&#039;s when I&#039;m started to spot and later on bleed. Which I still am at this point in time and it&#039;s been a whole month now. At this rate I don&#039;t think I want to be on birth control at all anymore if all I do is bleed."""	5	7-Nov-15	1
157790	Accutane	Acne	"""I&#039;ve been on this medication for just over 2 months now, taking 40mg a day. When I started on a low dose, the first 3 weeks I experienced severe dry skin, lips, and especially my nose and under my eyes even. The first 5 weeks my skin broke out worse. And from the beginning I started getting severe back pain. Now in week 9, my skin has settled down and is a tiny bit better, but all my blackheads have disappeared. My skin is still drier than usual, but it&#039;s actually improved, and my lips are fine as long as I apply vaseline 2-3 times a day. The only significant side effect I still have is my back and bone/joint pain. So far I&#039;m very happy with what I&#039;ve achieved (the blackheads) and expect things to keep improving."""	8	31-Jul-14	23
177889	Duloxetine	ibromyalgia	"""60 mg/day for 4 months and no relief of fibromyalgia symptoms. Killed my libido entirely and had trouble sleeping."""	1	14-Nov-12	17
146099	Suboxone	Opiate Dependence	"""A friend told me told me to cut the sheets into quarters. So I did. I forgot to mention in my last post that I am 29 now.  Anyway, I have only take 2 quarters of a sheet today and I feel great.  No withdrawals and no thoughts or wants for pain pills.  I actually took 5 lortabs to work with me yesterday just in case the Suboxone did not work.  I was very comfortable with flushing them down the toilet this morning.  I am so thankful for Suboxone.  Life is already 100% better and I am sure it will get better.  The only side effect is that it was difficult to go to sleep last night.  Suboxone is a life saver and I would recommend it to anybody."""	10	31-Oct-13	39
185300	Saxenda	Obesity	"""I started Saxenda in on 11/9 Thursday. First dose .6 at the doctors office weighed in at 228.6. Got a headache immediately but went away that evening. Today is 11/11 Saturday I administer in the mornings. No side effects so far, except a little more energy.  I weighed my self today and 230.2. Way to early to judge, but my cravings for starch and sugar are gone and food is starting to look and taste weird. My food portion intake is definitely less almost a struggle to eat. I will update each week."""	5	11-Nov-17	2
159049	TriNessa	Birth Control	"""One of the very first side effects of this drug was spotting which I was ok with, but during the very first two months I experiences horrible cramping, way worse than the cramping of my usual period, I literally felt like my uterus was going to explode...it hurt that bad. Along with that also came the side effects of a burning vagina - very uncomfortable and worse it lasted a while, to the point where I didn&#039;t want to have sex. Also for 2 weeks I was very depressed. This drug caused me to be extra sensitive to everything. Along with that on the 4th month of taking this I started to get hives all over my forehead. They were terribly itchy and nothing made them go away, even after I stopped taking it, it took months for it to go away :("""	1	9-Aug-15	5
11891	Trulicity	"Diabetes, Type 2"	"""Started trulicity about 8 months ago at .75mg...in the beginning very queasy &amp; complete loss of appetite which was a great thing. Also belching &amp; heartburn/sour stomach. I noticed after about 3 months the effects wore off so my doctor put me on 1.5mg 1x per week plus the .75mg 1x per week. None of the side effects returned...my appetite is back, no queasiness, weight loss stopped as well as no more sour stomach or belching. Wonder if anyone else has experienced the effects of the medicine wearing off as well. Not sure why I am still on it at this point! Also taking 1000mg Metformin 2x daily &amp; invokanna."""	3	7-Mar-16	17
135749	Percocet	Pain	"""Whenever I am in pain, this is my go to medication. I have a back, shoulder, neck, and foot injury and by rights should be on this medicine for chronic pain. For right now I only take it very rarely so that it works when needed, to avoid a tolerance. Because I am not working I am able to deal with the pain, however when I go back to work, I will most likely have to go on this medication or a similar one full time. The only thing I do not like is the fact that many of these narcotic pain medications contain tylenol, asperin, or ibuprofin which makes your kidneys, liver and other organs go through unnecessary stresses. I prefer it to be just oxycodone and if I need the synergy of tylenol I can add it on my own."""	10	24-Jun-16	37
137160	Isotretinoin	Acne	"""*Sebaceous Hyperplasia*, The one change I am most thrilled about is it got rid of all of my sebaceous hyperplasia (enlarged oil glands) bumps within the first week! I started getting these hard bumps about 5 years ago and 26 days ago, I had about 40 of them around my hairline and some on my chin, forehead, and cheek and my chest was starting to get super bumpy, today (day 26 on Accutane) I don&#039;t have a single bump.
*Acne* As far as my acne, I am definitely having a flare up and it feels like all of my blackheads are being pushed out and so my skin feels very bumpy, but as of about 5 days ago I don&#039;t have to blot anymore and I can go 3 days without washing my hair."""	7	10-Nov-14	8
167433	Levonorgestrel	Emergency Contraception	"""My boyfriend and I had sex on 2/6 around 5pm and the condom broke. I was scared that he didn&#039;t pull out fully and accidentally finished inside me. The last time I got my period was on 1/22. I wanted to purchase Plan B but I didn&#039;t get the pill until the next day around 12 pm. 5 days after taking the pill I was bleeding for about 4 days (super light). I was waiting and waiting for my period to come but nothing was happening. I was getting impatient and really nervous that I was actually pregnant so I went and bought a pregnancy test and it came out negative. I finally got my period today on 2/13 around 5 pm, I could not be happier. The pill works ladies so relax."""	9	14-Mar-16	4
